"";"REGIONE";"PROVINCIA";"COMUNE";"ELETTORI";"VOTANTI";"COGNOME";"NOME";"LISTA";"VOTI_LISTA";"ELEZIONE"
"1";"EMILIA-ROMAGNA";"BOLOGNA";"ALTO RENO TERME";5590;3268;NA;NA;"LA SINISTRA";127;"europee-20190526.txt"
"2";"EMILIA-ROMAGNA";"BOLOGNA";"ALTO RENO TERME";5590;3268;NA;NA;"PARTITO DEMOCRATICO";801;"europee-20190526.txt"
"3";"EMILIA-ROMAGNA";"BOLOGNA";"ALTO RENO TERME";5590;3268;NA;NA;"LEGA SALVINI PREMIER";1133;"europee-20190526.txt"
"4";"EMILIA-ROMAGNA";"BOLOGNA";"ALTO RENO TERME";5590;3268;NA;NA;"CASAPOUND ITALIA - DESTRE UNITE";4;"europee-20190526.txt"
"5";"EMILIA-ROMAGNA";"BOLOGNA";"ALTO RENO TERME";5590;3268;NA;NA;"SVP";1;"europee-20190526.txt"
"6";"EMILIA-ROMAGNA";"BOLOGNA";"ALTO RENO TERME";5590;3268;NA;NA;"PARTITO COMUNISTA";53;"europee-20190526.txt"
"7";"EMILIA-ROMAGNA";"BOLOGNA";"ALTO RENO TERME";5590;3268;NA;NA;"EUROPA VERDE";67;"europee-20190526.txt"
"8";"EMILIA-ROMAGNA";"BOLOGNA";"ALTO RENO TERME";5590;3268;NA;NA;"PARTITO ANIMALISTA";24;"europee-20190526.txt"
"9";"EMILIA-ROMAGNA";"BOLOGNA";"ALTO RENO TERME";5590;3268;NA;NA;"FORZA ITALIA";183;"europee-20190526.txt"
"10";"EMILIA-ROMAGNA";"BOLOGNA";"ALTO RENO TERME";5590;3268;NA;NA;"POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE";7;"europee-20190526.txt"
"11";"EMILIA-ROMAGNA";"BOLOGNA";"ALTO RENO TERME";5590;3268;NA;NA;"PPA MOVIMENTO POLITICO PENSIERO AZIONE";1;"europee-20190526.txt"
"12";"EMILIA-ROMAGNA";"BOLOGNA";"ALTO RENO TERME";5590;3268;NA;NA;"FRATELLI D'ITALIA";271;"europee-20190526.txt"
"13";"EMILIA-ROMAGNA";"BOLOGNA";"ALTO RENO TERME";5590;3268;NA;NA;"+EUROPA - ITALIA IN COMUNE - PDE ITALIA";76;"europee-20190526.txt"
"14";"EMILIA-ROMAGNA";"BOLOGNA";"ALTO RENO TERME";5590;3268;NA;NA;"MOVIMENTO 5 STELLE";398;"europee-20190526.txt"
"15";"EMILIA-ROMAGNA";"BOLOGNA";"ALTO RENO TERME";5590;3268;NA;NA;"PARTITO PIRATA";14;"europee-20190526.txt"
