"ITTER107","Territorio","TIPO_DATO_CENS_POP","Tipo dato","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","RESPOP_AV","popolazione residente","2021","2021",59030133,,
"001272","Torino","RESPOP_AV","popolazione residente","2021","2021",848748,,
"002158","Vercelli","RESPOP_AV","popolazione residente","2021","2021",45176,,
"003106","Novara","RESPOP_AV","popolazione residente","2021","2021",101367,,
"004078","Cuneo","RESPOP_AV","popolazione residente","2021","2021",55557,,
"005005","Asti","RESPOP_AV","popolazione residente","2021","2021",73723,,
"006003","Alessandria","RESPOP_AV","popolazione residente","2021","2021",90825,,
"096004","Biella","RESPOP_AV","popolazione residente","2021","2021",42783,,
"103072","Verbania","RESPOP_AV","popolazione residente","2021","2021",29856,,
"007003","Aosta","RESPOP_AV","popolazione residente","2021","2021",33223,,
"012133","Varese","RESPOP_AV","popolazione residente","2021","2021",78740,,
"013075","Como","RESPOP_AV","popolazione residente","2021","2021",83361,,
"014061","Sondrio","RESPOP_AV","popolazione residente","2021","2021",21192,,
"015146","Milano","RESPOP_AV","popolazione residente","2021","2021",1349930,,
"016024","Bergamo","RESPOP_AV","popolazione residente","2021","2021",119476,,
"017029","Brescia","RESPOP_AV","popolazione residente","2021","2021",195906,,
"018110","Pavia","RESPOP_AV","popolazione residente","2021","2021",70380,,
"019036","Cremona","RESPOP_AV","popolazione residente","2021","2021",70841,,
"020030","Mantova","RESPOP_AV","popolazione residente","2021","2021",48441,,
"097042","Lecco","RESPOP_AV","popolazione residente","2021","2021",46831,,
"098031","Lodi","RESPOP_AV","popolazione residente","2021","2021",44716,,
"108033","Monza","RESPOP_AV","popolazione residente","2021","2021",121984,,
"021008","Bolzano/Bozen","RESPOP_AV","popolazione residente","2021","2021",106601,,
"022205","Trento","RESPOP_AV","popolazione residente","2021","2021",117847,,
"023091","Verona","RESPOP_AV","popolazione residente","2021","2021",255985,,
"024116","Vicenza","RESPOP_AV","popolazione residente","2021","2021",110293,,
"025006","Belluno","RESPOP_AV","popolazione residente","2021","2021",35395,,
"026086","Treviso","RESPOP_AV","popolazione residente","2021","2021",84452,,
"027042","Venezia","RESPOP_AV","popolazione residente","2021","2021",251944,,
"028060","Padova","RESPOP_AV","popolazione residente","2021","2021",206651,,
"029041","Rovigo","RESPOP_AV","popolazione residente","2021","2021",50190,,
"030129","Udine","RESPOP_AV","popolazione residente","2021","2021",97736,,
"031007","Gorizia","RESPOP_AV","popolazione residente","2021","2021",33615,,
"032006","Trieste","RESPOP_AV","popolazione residente","2021","2021",199015,,
"093033","Pordenone","RESPOP_AV","popolazione residente","2021","2021",51617,,
"008031","Imperia","RESPOP_AV","popolazione residente","2021","2021",41960,,
"009056","Savona","RESPOP_AV","popolazione residente","2021","2021",58534,,
"010025","Genova","RESPOP_AV","popolazione residente","2021","2021",561203,,
"011015","La Spezia","RESPOP_AV","popolazione residente","2021","2021",92169,,
"033032","Piacenza","RESPOP_AV","popolazione residente","2021","2021",102364,,
"034027","Parma","RESPOP_AV","popolazione residente","2021","2021",195436,,
"035033","Reggio nell'Emilia","RESPOP_AV","popolazione residente","2021","2021",169908,,
"036023","Modena","RESPOP_AV","popolazione residente","2021","2021",184971,,
"037006","Bologna","RESPOP_AV","popolazione residente","2021","2021",387842,,
"038008","Ferrara","RESPOP_AV","popolazione residente","2021","2021",129872,,
"039014","Ravenna","RESPOP_AV","popolazione residente","2021","2021",155836,,
"040012","Forlì","RESPOP_AV","popolazione residente","2021","2021",116558,,
"099014","Rimini","RESPOP_AV","popolazione residente","2021","2021",149169,,
"045010","Massa","RESPOP_AV","popolazione residente","2021","2021",66498,,
"046017","Lucca","RESPOP_AV","popolazione residente","2021","2021",89078,,
"047014","Pistoia","RESPOP_AV","popolazione residente","2021","2021",89493,,
"048017","Firenze","RESPOP_AV","popolazione residente","2021","2021",361619,,
"049009","Livorno","RESPOP_AV","popolazione residente","2021","2021",154483,,
"050026","Pisa","RESPOP_AV","popolazione residente","2021","2021",89002,,
"051002","Arezzo","RESPOP_AV","popolazione residente","2021","2021",96717,,
"052032","Siena","RESPOP_AV","popolazione residente","2021","2021",53062,,
"053011","Grosseto","RESPOP_AV","popolazione residente","2021","2021",81503,,
"100005","Prato","RESPOP_AV","popolazione residente","2021","2021",195213,,
"054039","Perugia","RESPOP_AV","popolazione residente","2021","2021",162362,,
"055032","Terni","RESPOP_AV","popolazione residente","2021","2021",107165,,
"041044","Pesaro","RESPOP_AV","popolazione residente","2021","2021",95670,,
"042002","Ancona","RESPOP_AV","popolazione residente","2021","2021",98402,,
"043023","Macerata","RESPOP_AV","popolazione residente","2021","2021",40503,,
"044007","Ascoli Piceno","RESPOP_AV","popolazione residente","2021","2021",46085,,
"109006","Fermo","RESPOP_AV","popolazione residente","2021","2021",35923,,
"056059","Viterbo","RESPOP_AV","popolazione residente","2021","2021",65931,,
"057059","Rieti","RESPOP_AV","popolazione residente","2021","2021",45557,,
"058091","Roma","RESPOP_AV","popolazione residente","2021","2021",2749031,,
"059011","Latina","RESPOP_AV","popolazione residente","2021","2021",127861,,
"060038","Frosinone","RESPOP_AV","popolazione residente","2021","2021",43830,,
"066049","L'Aquila","RESPOP_AV","popolazione residente","2021","2021",69210,,
"067041","Teramo","RESPOP_AV","popolazione residente","2021","2021",51849,,
"068028","Pescara","RESPOP_AV","popolazione residente","2021","2021",118992,,
"069022","Chieti","RESPOP_AV","popolazione residente","2021","2021",48666,,
"070006","Campobasso","RESPOP_AV","popolazione residente","2021","2021",47587,,
"094023","Isernia","RESPOP_AV","popolazione residente","2021","2021",20748,,
"061022","Caserta","RESPOP_AV","popolazione residente","2021","2021",73037,,
"062008","Benevento","RESPOP_AV","popolazione residente","2021","2021",56916,,
"063049","Napoli","RESPOP_AV","popolazione residente","2021","2021",921142,,
"064008","Avellino","RESPOP_AV","popolazione residente","2021","2021",52498,,
"065116","Salerno","RESPOP_AV","popolazione residente","2021","2021",128136,,
"071024","Foggia","RESPOP_AV","popolazione residente","2021","2021",146803,,
"072006","Bari","RESPOP_AV","popolazione residente","2021","2021",315948,,
"073027","Taranto","RESPOP_AV","popolazione residente","2021","2021",189461,,
"074001","Brindisi","RESPOP_AV","popolazione residente","2021","2021",83317,,
"075035","Lecce","RESPOP_AV","popolazione residente","2021","2021",94783,,
"110001","Andria","RESPOP_AV","popolazione residente","2021","2021",97588,,
"110002","Barletta","RESPOP_AV","popolazione residente","2021","2021",92798,,
"110009","Trani","RESPOP_AV","popolazione residente","2021","2021",55035,,
"076063","Potenza","RESPOP_AV","popolazione residente","2021","2021",64850,,
"077014","Matera","RESPOP_AV","popolazione residente","2021","2021",59748,,
"078045","Cosenza","RESPOP_AV","popolazione residente","2021","2021",64073,,
"079023","Catanzaro","RESPOP_AV","popolazione residente","2021","2021",85609,,
"080063","Reggio di Calabria","RESPOP_AV","popolazione residente","2021","2021",172479,,
"101010","Crotone","RESPOP_AV","popolazione residente","2021","2021",59359,,
"102047","Vibo Valentia","RESPOP_AV","popolazione residente","2021","2021",31480,,
"081021","Trapani","RESPOP_AV","popolazione residente","2021","2021",56293,,
"082053","Palermo","RESPOP_AV","popolazione residente","2021","2021",635439,,
"083048","Messina","RESPOP_AV","popolazione residente","2021","2021",221246,,
"084001","Agrigento","RESPOP_AV","popolazione residente","2021","2021",55849,,
"085004","Caltanissetta","RESPOP_AV","popolazione residente","2021","2021",59245,,
"086009","Enna","RESPOP_AV","popolazione residente","2021","2021",25815,,
"087015","Catania","RESPOP_AV","popolazione residente","2021","2021",301104,,
"088009","Ragusa","RESPOP_AV","popolazione residente","2021","2021",72779,,
"089017","Siracusa","RESPOP_AV","popolazione residente","2021","2021",117055,,
"090064","Sassari","RESPOP_AV","popolazione residente","2021","2021",122159,,
"091051","Nuoro","RESPOP_AV","popolazione residente","2021","2021",34183,,
"092009","Cagliari","RESPOP_AV","popolazione residente","2021","2021",149092,,
"095038","Oristano","RESPOP_AV","popolazione residente","2021","2021",30653,,
"028001","Abano Terme","RESPOP_AV","popolazione residente","2021","2021",20123,,
"098001","Abbadia Cerreto","RESPOP_AV","popolazione residente","2021","2021",275,,
"097001","Abbadia Lariana","RESPOP_AV","popolazione residente","2021","2021",3202,,
"052001","Abbadia San Salvatore","RESPOP_AV","popolazione residente","2021","2021",6023,,
"095001","Abbasanta","RESPOP_AV","popolazione residente","2021","2021",2594,,
"068001","Abbateggio","RESPOP_AV","popolazione residente","2021","2021",363,,
"015002","Abbiategrasso","RESPOP_AV","popolazione residente","2021","2021",32383,,
"076001","Abriola","RESPOP_AV","popolazione residente","2021","2021",1317,,
"088001","Acate","RESPOP_AV","popolazione residente","2021","2021",10581,,
"071001","Accadia","RESPOP_AV","popolazione residente","2021","2021",2182,,
"004001","Acceglio","RESPOP_AV","popolazione residente","2021","2021",157,,
"077001","Accettura","RESPOP_AV","popolazione residente","2021","2021",1648,,
"066001","Acciano","RESPOP_AV","popolazione residente","2021","2021",282,,
"057001","Accumoli","RESPOP_AV","popolazione residente","2021","2021",547,,
"076002","Acerenza","RESPOP_AV","popolazione residente","2021","2021",2130,,
"065001","Acerno","RESPOP_AV","popolazione residente","2021","2021",2500,,
"063001","Acerra","RESPOP_AV","popolazione residente","2021","2021",58494,,
"087001","Aci Bonaccorsi","RESPOP_AV","popolazione residente","2021","2021",3525,,
"087002","Aci Castello","RESPOP_AV","popolazione residente","2021","2021",17975,,
"087003","Aci Catena","RESPOP_AV","popolazione residente","2021","2021",28124,,
"087005","Aci Sant'Antonio","RESPOP_AV","popolazione residente","2021","2021",18058,,
"087004","Acireale","RESPOP_AV","popolazione residente","2021","2021",50735,,
"060001","Acquafondata","RESPOP_AV","popolazione residente","2021","2021",276,,
"078001","Acquaformosa","RESPOP_AV","popolazione residente","2021","2021",1001,,
"017001","Acquafredda","RESPOP_AV","popolazione residente","2021","2021",1518,,
"041001","Acqualagna","RESPOP_AV","popolazione residente","2021","2021",4182,,
"019001","Acquanegra Cremonese","RESPOP_AV","popolazione residente","2021","2021",1123,,
"020001","Acquanegra sul Chiese","RESPOP_AV","popolazione residente","2021","2021",2736,,
"056001","Acquapendente","RESPOP_AV","popolazione residente","2021","2021",5304,,
"078002","Acquappesa","RESPOP_AV","popolazione residente","2021","2021",1743,,
"102001","Acquaro","RESPOP_AV","popolazione residente","2021","2021",1891,,
"044001","Acquasanta Terme","RESPOP_AV","popolazione residente","2021","2021",2531,,
"055001","Acquasparta","RESPOP_AV","popolazione residente","2021","2021",4436,,
"070001","Acquaviva Collecroce","RESPOP_AV","popolazione residente","2021","2021",585,,
"072001","Acquaviva delle Fonti","RESPOP_AV","popolazione residente","2021","2021",20087,,
"094001","Acquaviva d'Isernia","RESPOP_AV","popolazione residente","2021","2021",377,,
"044002","Acquaviva Picena","RESPOP_AV","popolazione residente","2021","2021",3692,,
"085001","Acquaviva Platani","RESPOP_AV","popolazione residente","2021","2021",891,,
"083107","Acquedolci","RESPOP_AV","popolazione residente","2021","2021",5494,,
"006001","Acqui Terme","RESPOP_AV","popolazione residente","2021","2021",19043,,
"078003","Acri","RESPOP_AV","popolazione residente","2021","2021",19127,,
"060002","Acuto","RESPOP_AV","popolazione residente","2021","2021",1875,,
"072002","Adelfia","RESPOP_AV","popolazione residente","2021","2021",16554,,
"087006","Adrano","RESPOP_AV","popolazione residente","2021","2021",34110,,
"016001","Adrara San Martino","RESPOP_AV","popolazione residente","2021","2021",2172,,
"016002","Adrara San Rocco","RESPOP_AV","popolazione residente","2021","2021",807,,
"029001","Adria","RESPOP_AV","popolazione residente","2021","2021",18781,,
"017002","Adro","RESPOP_AV","popolazione residente","2021","2021",7171,,
"023001","Affi","RESPOP_AV","popolazione residente","2021","2021",2387,,
"058001","Affile","RESPOP_AV","popolazione residente","2021","2021",1433,,
"063002","Afragola","RESPOP_AV","popolazione residente","2021","2021",62198,,
"080001","Africo","RESPOP_AV","popolazione residente","2021","2021",2783,,
"033001","Agazzano","RESPOP_AV","popolazione residente","2021","2021",1975,,
"063003","Agerola","RESPOP_AV","popolazione residente","2021","2021",7666,,
"090001","Aggius","RESPOP_AV","popolazione residente","2021","2021",1405,,
"086001","Agira","RESPOP_AV","popolazione residente","2021","2021",7726,,
"047002","Agliana","RESPOP_AV","popolazione residente","2021","2021",17950,,
"005001","Agliano Terme","RESPOP_AV","popolazione residente","2021","2021",1526,,
"001001","Agliè","RESPOP_AV","popolazione residente","2021","2021",2562,,
"090062","Aglientu","RESPOP_AV","popolazione residente","2021","2021",1168,,
"028002","Agna","RESPOP_AV","popolazione residente","2021","2021",3152,,
"019002","Agnadello","RESPOP_AV","popolazione residente","2021","2021",3842,,
"080002","Agnana Calabra","RESPOP_AV","popolazione residente","2021","2021",466,,
"094002","Agnone","RESPOP_AV","popolazione residente","2021","2021",4703,,
"017003","Agnosine","RESPOP_AV","popolazione residente","2021","2021",1622,,
"025001","Agordo","RESPOP_AV","popolazione residente","2021","2021",4085,,
"058002","Agosta","RESPOP_AV","popolazione residente","2021","2021",1704,,
"012001","Agra","RESPOP_AV","popolazione residente","2021","2021",407,,
"108001","Agrate Brianza","RESPOP_AV","popolazione residente","2021","2021",15505,,
"003001","Agrate Conturbia","RESPOP_AV","popolazione residente","2021","2021",1520,,
"065002","Agropoli","RESPOP_AV","popolazione residente","2021","2021",21173,,
"042001","Agugliano","RESPOP_AV","popolazione residente","2021","2021",4682,,
"024001","Agugliaro","RESPOP_AV","popolazione residente","2021","2021",1414,,
"108002","Aicurzio","RESPOP_AV","popolazione residente","2021","2021",2071,,
"095002","Aidomaggiore","RESPOP_AV","popolazione residente","2021","2021",398,,
